"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 08, 1984","132.73","132.73","132.73","132.73","-","0.10%"
"Jun 07, 1984","132.60","132.60","132.60","132.60","-","0.52%"
"Jun 06, 1984","131.92","131.92","131.92","131.92","-","-0.26%"
"Jun 05, 1984","132.27","132.27","132.27","132.27","-","0.59%"
"Jun 04, 1984","131.50","131.50","131.50","131.50","-","-0.38%"
"Jun 01, 1984","132.00","132.00","132.00","132.00","-","-1.26%"
"May 31, 1984","133.69","133.69","133.69","133.69","-","-0.09%"
"May 30, 1984","133.81","133.81","133.81","133.81","-","0.05%"
"May 29, 1984","133.74","133.74","133.74","133.74","-","0.09%"
"May 25, 1984","133.62","133.62","133.62","133.62","-","-0.33%"
"May 24, 1984","134.06","134.06","134.06","134.06","-","-0.37%"
"May 23, 1984","134.56","134.56","134.56","134.56","-","0.37%"
"May 22, 1984","134.06","134.06","134.06","134.06","-","-0.23%"
"May 21, 1984","134.37","134.37","134.37","134.37","-","-0.51%"
"May 18, 1984","135.06","135.06","135.06","135.06","-","0.51%"
"May 17, 1984","134.38","134.38","134.38","134.38","-","0.37%"
"May 16, 1984","133.88","133.88","133.88","133.88","-","-0.07%"
"May 15, 1984","133.98","133.98","133.98","133.98","-","-0.27%"
"May 14, 1984","134.34","134.34","134.34","134.34","-","-0.33%"
"May 11, 1984","134.78","134.78","134.78","134.78","-","-0.07%"
"May 10, 1984","134.88","134.88","134.88","134.88","-","0.32%"
"May 09, 1984","134.45","134.45","134.45","134.45","-","-0.36%"
"May 08, 1984","134.93","134.93","134.93","134.93","-","0.25%"
"May 07, 1984","134.59","134.59","134.59","134.59","-","1.45%"
"May 04, 1984","132.67","132.67","132.67","132.67","-","0.43%"
"May 03, 1984","132.10","132.10","132.10","132.10","-","-0.62%"
"May 02, 1984","132.92","132.92","132.92","132.92","-","-0.02%"
"May 01, 1984","132.95","132.95","132.95","132.95","-","0.23%"
"Apr 30, 1984","132.64","132.64","132.64","132.64","-","0.40%"
"Apr 27, 1984","132.11","132.11","132.11","132.11","-","0.33%"
"Apr 26, 1984","131.68","131.68","131.68","131.68","-","0.43%"
"Apr 25, 1984","131.12","131.12","131.12","131.12","-","-0.18%"
"Apr 24, 1984","131.36","131.36","131.36","131.36","-","0.67%"
"Apr 23, 1984","130.49","130.49","130.49","130.49","-","0.01%"
"Apr 19, 1984","130.48","130.48","130.48","130.48","-","0.39%"
"Apr 18, 1984","129.97","129.97","129.97","129.97","-","0.07%"
"Apr 17, 1984","129.88","129.88","129.88","129.88","-","0.12%"
"Apr 16, 1984","129.72","129.72","129.72","129.72","-","0.36%"
"Apr 13, 1984","129.25","129.25","129.25","129.25","-","0.22%"
"Apr 12, 1984","128.97","128.97","128.97","128.97","-","0.38%"
"Apr 11, 1984","128.48","128.48","128.48","128.48","-","-0.36%"
"Apr 10, 1984","128.94","128.94","128.94","128.94","-","-0.42%"
"Apr 09, 1984","129.49","129.49","129.49","129.49","-","0.26%"
"Apr 06, 1984","129.16","129.16","129.16","129.16","-","-0.26%"
"Apr 05, 1984","129.50","129.50","129.50","129.50","-","0.32%"
"Apr 04, 1984","129.09","129.09","129.09","129.09","-","-0.01%"
"Apr 03, 1984","129.10","129.10","129.10","129.10","-","0.58%"
"Apr 02, 1984","128.36","128.36","128.36","128.36","-","0.11%"
"Mar 30, 1984","128.22","128.22","128.22","128.22","-","0.30%"
"Mar 29, 1984","127.84","127.84","127.84","127.84","-","-0.20%"
"Mar 28, 1984","128.10","128.10","128.10","128.10","-","0.14%"
"Mar 27, 1984","127.92","127.92","127.92","127.92","-","-0.27%"
"Mar 26, 1984","128.27","128.27","128.27","128.27","-","-0.79%"
"Mar 23, 1984","129.29","129.29","129.29","129.29","-","-0.22%"
"Mar 22, 1984","129.57","129.57","129.57","129.57","-","-0.31%"
"Mar 21, 1984","129.97","129.97","129.97","129.97","-","0.36%"
"Mar 20, 1984","129.51","129.51","129.51","129.51","-","0.20%"
"Mar 19, 1984","129.25","129.25","129.25","129.25","-","0.09%"
"Mar 16, 1984","129.13","129.13","129.13","129.13","-","1.21%"
"Mar 15, 1984","127.59","127.59","127.59","127.59","-","0.53%"
"Mar 14, 1984","126.92","126.92","126.92","126.92","-","-0.04%"
"Mar 13, 1984","126.97","126.97","126.97","126.97","-","-1.08%"
"Mar 12, 1984","128.35","128.35","128.35","128.35","-","0.65%"
"Mar 09, 1984","127.52","127.52","127.52","127.52","-","-0.12%"
"Mar 08, 1984","127.67","127.67","127.67","127.67","-","1.09%"
"Mar 07, 1984","126.29","126.29","126.29","126.29","-","0.09%"
"Mar 06, 1984","126.18","126.18","126.18","126.18","-","-0.55%"
"Mar 05, 1984","126.88","126.88","126.88","126.88","-","-0.56%"
"Mar 02, 1984","127.60","127.60","127.60","127.60","-","-0.84%"
"Mar 01, 1984","128.68","128.68","128.68","128.68","-","0.34%"
"Feb 29, 1984","128.25","128.25","128.25","128.25","-","-0.15%"
"Feb 28, 1984","128.44","128.44","128.44","128.44","-","-0.90%"
"Feb 27, 1984","129.60","129.60","129.60","129.60","-","0.24%"
"Feb 24, 1984","129.29","129.29","129.29","129.29","-","-0.92%"
"Feb 23, 1984","130.49","130.49","130.49","130.49","-","-0.08%"
"Feb 22, 1984","130.59","130.59","130.59","130.59","-","-1.17%"
"Feb 21, 1984","132.14","132.14","132.14","132.14","-","0.72%"
"Feb 17, 1984","131.20","131.20","131.20","131.20","-","0.18%"
"Feb 16, 1984","130.96","130.96","130.96","130.96","-","0.04%"
"Feb 15, 1984","130.91","130.91","130.91","130.91","-","-1.33%"
"Feb 14, 1984","132.67","132.67","132.67","132.67","-","-0.56%"
"Feb 10, 1984","133.42","133.42","133.42","133.42","-","-0.24%"
"Feb 09, 1984","133.74","133.74","133.74","133.74","-","0.04%"
"Feb 08, 1984","133.68","133.68","133.68","133.68","-","-0.31%"
"Feb 07, 1984","134.09","134.09","134.09","134.09","-","0.74%"
"Feb 06, 1984","133.10","133.10","133.10","133.10","-","0.23%"
"Feb 03, 1984","132.79","132.79","132.79","132.79","-","-0.64%"
"Feb 02, 1984","133.65","133.65","133.65","133.65","-","-0.74%"
"Feb 01, 1984","134.65","134.65","134.65","134.65","-","-0.63%"
"Jan 31, 1984","135.51","135.51","135.51","135.51","-","0.19%"
"Jan 30, 1984","135.25","135.25","135.25","135.25","-","-0.21%"
