"Date","Price","Open","High","Low","Change %"
"Mar 21, 1996","6.289","6.289","6.289","6.289","-0.27%"
"Mar 20, 1996","6.306","6.306","6.306","6.306","-1.73%"
"Mar 19, 1996","6.417","6.417","6.417","6.417","-0.08%"
"Mar 18, 1996","6.422","6.422","6.422","6.422","-0.40%"
"Mar 15, 1996","6.448","6.448","6.448","6.448","1.40%"
"Mar 14, 1996","6.359","6.359","6.359","6.359","0.00%"
"Mar 13, 1996","6.359","6.359","6.359","6.359","0.02%"
"Mar 12, 1996","6.358","6.358","6.358","6.358","0.41%"
"Mar 11, 1996","6.332","6.332","6.332","6.332","-1.39%"
"Mar 08, 1996","6.421","6.421","6.421","6.421","5.64%"
"Mar 07, 1996","6.078","6.078","6.078","6.078","0.36%"
"Mar 06, 1996","6.056","6.056","6.056","6.056","1.73%"
"Mar 05, 1996","5.953","5.953","5.953","5.953","0.86%"
"Mar 04, 1996","5.902","5.902","5.902","5.902","-1.14%"
"Mar 01, 1996","5.970","5.970","5.970","5.970","-2.18%"
"Feb 29, 1996","6.103","6.103","6.103","6.103","0.15%"
"Feb 28, 1996","6.094","6.094","6.094","6.094","0.35%"
"Feb 27, 1996","6.073","6.073","6.073","6.073","0.86%"
"Feb 26, 1996","6.021","6.021","6.021","6.021","0.87%"
"Feb 23, 1996","5.969","5.969","5.969","5.969","1.15%"
"Feb 22, 1996","5.901","5.901","5.901","5.901","-1.14%"
"Feb 21, 1996","5.969","5.969","5.969","5.969","-0.65%"
"Feb 20, 1996","6.008","6.008","6.008","6.008","3.96%"
"Feb 16, 1996","5.779","5.779","5.779","5.779","1.31%"
"Feb 15, 1996","5.704","5.704","5.704","5.704","1.26%"
"Feb 14, 1996","5.633","5.633","5.633","5.633","0.95%"
"Feb 13, 1996","5.580","5.580","5.580","5.580","-0.21%"
"Feb 12, 1996","5.592","5.592","5.592","5.592","-1.24%"
"Feb 09, 1996","5.662","5.662","5.662","5.662","0.07%"
"Feb 08, 1996","5.658","5.658","5.658","5.658","-0.23%"
"Feb 07, 1996","5.671","5.671","5.671","5.671","0.28%"
"Feb 06, 1996","5.655","5.655","5.655","5.655","-0.65%"
"Feb 05, 1996","5.692","5.692","5.692","5.692","0.44%"
"Feb 02, 1996","5.667","5.667","5.667","5.667","1.18%"
"Feb 01, 1996","5.601","5.601","5.601","5.601","0.45%"
"Jan 31, 1996","5.576","5.576","5.576","5.576","-0.75%"
"Jan 30, 1996","5.618","5.618","5.618","5.618","-1.25%"
"Jan 29, 1996","5.689","5.689","5.689","5.689","0.96%"
"Jan 26, 1996","5.635","5.635","5.635","5.635","-1.09%"
"Jan 25, 1996","5.697","5.697","5.697","5.697","1.48%"
"Jan 24, 1996","5.614","5.614","5.614","5.614","-0.65%"
"Jan 23, 1996","5.651","5.651","5.651","5.651","0.73%"
"Jan 22, 1996","5.610","5.610","5.610","5.610","1.48%"
"Jan 19, 1996","5.528","5.528","5.528","5.528","0.07%"
"Jan 18, 1996","5.524","5.524","5.524","5.524","-0.95%"
"Jan 17, 1996","5.577","5.577","5.577","5.577","-0.89%"
"Jan 16, 1996","5.627","5.627","5.627","5.627","-1.95%"
"Jan 12, 1996","5.739","5.739","5.739","5.739","-0.30%"
"Jan 11, 1996","5.756","5.756","5.756","5.756","-1.22%"
"Jan 10, 1996","5.827","5.827","5.827","5.827","1.53%"
"Jan 09, 1996","5.739","5.739","5.739","5.739","0.95%"
